OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,spendMoreTimeDestinationKentState,favoritePartDestinationKentState,expectedAsAKentStateStudent,anyAdditionalComments
,,,,I liked being able to talk to current students who were in my major and really figure out what I was getting into,To work hard and make good decisions,If you're going to ask people if they have any dietary restrictions make sure that gets addressed upfront
Make it available for safari users ,N/A,N/A,N/A,Meeting new friends ,Hard work and determination to succeed,
,,,,,,
,he was super helpful and answered all of my questions! ,,,hanging out before bed and playing games with new friends,be involved and have fun,
,"My experience was fantastic. My advisor, Daniel Barton, helped me figure out how to juggle athletics, honors college, and a hard major in my schedule.",,,My favorite part was the free time in the evening.,"To be kind to everyone and respect everyone, and also to work hard in school but also to find my passion and be involved. ",
,,,Show people around campus more. ,Meeting with small groups in our colleges and asking questions to our flashguides. ,I believe it is expected to get involved and to be an active member of the school. ,
,,,,I enjoyed the freedom to meet new people and interacting with the Flashguides. ,"Go to class, take advantage of resources, be involved in the KSU community, have fun with friends. ",I didn't know that towels and bed sheets were provided. Please make that clearer. 
,,,,,To make the school proud. ,
,,,,,,
,,,,,,
no,,,No,Meeting new friends and going downtown with them and the flashguides,To find yourself and your purpose.,I really liked DKS and am happy with my experience. 
